size,stride,ns
4096,4,0.493772
4096,8,0.505418
4096,16,0.502298
4096,32,0.471480
4096,64,0.103740
4096,128,0.019442
4096,256,0.062327
4096,512,-0.064787
4096,1024,-0.023714
4096,2048,-2.450964
8192,4,0.514374
8192,8,0.515703
8192,16,0.515117
8192,32,0.498142
8192,64,0.478644
8192,128,0.102368
8192,256,0.051622
8192,512,0.049190
8192,1024,-0.050420
8192,2048,-0.023504
8192,4096,-0.749810
16384,4,0.511394
16384,8,0.532160
16384,16,0.520767
16384,32,0.512493
16384,64,0.507879
16384,128,0.481602
16384,256,0.100575
16384,512,0.055574
16384,1024,0.116659
16384,2048,0.412703
16384,4096,0.608169
16384,8192,-1.352368
32768,4,0.513048
32768,8,0.511463
32768,16,0.516421
32768,32,0.514062
32768,64,0.510295
32768,128,0.495672
32768,256,0.479079
32768,512,0.162908
32768,1024,0.104549
32768,2048,0.603739
32768,4096,0.672956
32768,8192,0.611089
32768,16384,-1.494574
65536,4,0.512796
65536,8,0.513297
65536,16,0.513936
65536,32,0.646391
65536,64,2.126531
65536,128,2.121106
65536,256,2.180287
65536,512,2.200961
65536,1024,4.538078
65536,2048,4.651524
65536,4096,5.835569
65536,8192,0.673808
65536,16384,0.614955
65536,32768,-1.576376
131072,4,0.508129
131072,8,0.504079
131072,16,0.507581
131072,32,0.652128
131072,64,2.227732
131072,128,2.227946
131072,256,2.223703
131072,512,2.253082
131072,1024,4.506965
131072,2048,5.649652
131072,4096,7.110164
131072,8192,6.092050
131072,16384,0.674168
131072,32768,0.610916
131072,65536,-1.532322
262144,4,0.515876
262144,8,0.513744
262144,16,0.593773
262144,32,0.832357
262144,64,2.522124
262144,128,2.487961
262144,256,2.456205
262144,512,2.411593
262144,1024,4.722678
262144,2048,5.956379
262144,4096,7.484878
262144,8192,8.261438
262144,16384,5.797474
262144,32768,0.669414
262144,65536,0.623506
262144,131072,-1.813708
524288,4,0.517558
524288,8,0.521964
524288,16,0.843939
524288,32,1.812858
524288,64,4.414116
524288,128,4.499953
524288,256,4.491776
524288,512,4.367798
524288,1024,5.765033
524288,2048,6.908328
524288,4096,8.313804
524288,8192,7.600819
524288,16384,7.003317
524288,32768,6.181918
524288,65536,1.846490
524288,131072,0.615763
524288,262144,1.769134
1048576,4,0.512348
1048576,8,0.513497
1048576,16,0.802936
1048576,32,1.677774
1048576,64,4.070690
1048576,128,4.112978
1048576,256,4.183788
1048576,512,3.993892
1048576,1024,5.795316
1048576,2048,6.779187
1048576,4096,8.090908
1048576,8192,8.324370
1048576,16384,8.315839
1048576,32768,8.131682
1048576,65536,6.649167
1048576,131072,1.846603
1048576,262144,0.596580
1048576,524288,1.610775
2097152,4,0.524358
2097152,8,0.513821
2097152,16,0.803722
2097152,32,1.678688
