size,stride,ns
2097152,64,4.071742
2097152,128,4.127829
2097152,256,4.556204
2097152,512,4.371244
2097152,1024,5.782494
2097152,2048,6.922952
2097152,4096,8.260261
2097152,8192,8.829114
2097152,16384,8.612365
2097152,32768,8.605024
2097152,65536,8.452234
2097152,131072,6.916524
2097152,262144,1.852885
2097152,524288,0.605819
2097152,1048576,-1.621628
4194304,4,0.740978
4194304,8,1.660364
4194304,16,3.727582
4194304,32,7.512179
4194304,64,14.973055
4194304,128,17.962404
4194304,256,17.191212
4194304,512,13.418580
4194304,1024,12.504838
4194304,2048,12.491661
4194304,4096,14.988800
4194304,8192,8.686119
4194304,16384,9.027321
4194304,32768,9.157510
4194304,65536,8.819153
4194304,131072,9.547290
4194304,262144,6.415708
4194304,524288,1.450182
4194304,1048576,2.687364
4194304,2097152,-1.422260
8388608,4,0.675305
8388608,8,1.122036
8388608,16,3.056409
8388608,32,5.911881
8388608,64,12.072611
8388608,128,16.656077
8388608,256,17.220107
8388608,512,14.463452
8388608,1024,14.080433
8388608,2048,14.320683
8388608,4096,16.675673
8388608,8192,15.869694
8388608,16384,17.043001
8388608,32768,18.721497
8388608,65536,20.181117
8388608,131072,28.884136
8388608,262144,35.281696
8388608,524288,15.090514
8388608,1048576,4.755731
8388608,2097152,4.653720
8388608,4194304,-1.473736
16777216,4,0.673750
16777216,8,1.172832
16777216,16,2.957589
16777216,32,6.383299
16777216,64,13.330829
16777216,128,19.662919
16777216,256,19.959451
16777216,512,16.562172
16777216,1024,15.146620
16777216,2048,14.927300
16777216,4096,16.825601
16777216,8192,17.559853
16777216,16384,19.571005
16777216,32768,21.541713
16777216,65536,24.072432
16777216,131072,40.156111
16777216,262144,47.258492
16777216,524288,67.333838
16777216,1048576,25.971260
16777216,2097152,5.794285
16777216,4194304,4.734845
16777216,8388608,-1.526889
33554432,4,0.697896
33554432,8,1.210766
33554432,16,3.075942
33554432,32,6.788488
33554432,64,14.164368
33554432,128,22.423981
33554432,256,23.694028
33554432,512,19.945036
33554432,1024,16.235455
33554432,2048,15.357328
33554432,4096,16.866817
33554432,8192,17.477051
33554432,16384,20.015763
33554432,32768,23.594511
33554432,65536,26.105451
33554432,131072,46.860303
33554432,262144,56.678052
33554432,524288,78.523048
33554432,1048576,129.828778
33554432,2097152,28.898182
33554432,4194304,5.698407
33554432,8388608,4.633879
33554432,16777216,-1.361859
67108864,4,0.676008
67108864,8,1.148070
67108864,16,2.984292
67108864,32,6.643769
67108864,64,13.965908
67108864,128,23.026384
67108864,256,22.670865
67108864,512,19.103364
67108864,1024,16.166722
67108864,2048,15.066860
67108864,4096,16.422076
67108864,8192,17.421823
67108864,16384,20.357978
67108864,32768,24.471396
67108864,65536,27.294846
67108864,131072,51.153114
67108864,262144,61.495312
67108864,524288,83.447464
67108864,1048576,135.148196
67108864,2097152,134.978370
67108864,4194304,29.379723
67108864,8388608,5.764532
67108864,16777216,4.697651
67108864,33554432,-1.388407
