size,mflop
31,1045.47
32,1235.81
96,1213.98
97,1052.96
127,1059.95
128,1168.45
129,1048.48
191,1042.65
192,1172.93
229,1002.36
255,1002.34
256,899.296
257,989.762
319,931.22
320,973.163
321,923.1
417,851.825
479,808.053
480,917.072
511,943.694
512,650.635
639,872.438
640,903.855
767,807.659
768,751.054
769,853.867
