size,mflop
31,1401.9
32,1576.64
96,1758.03
97,1790.77
127,1648.4
128,802.545
129,1714.61
191,1639.99
192,784.49
229,1477.88
255,1440.88
256,495.062
257,1472.71
319,1377.03
320,735.168
321,1396.76
417,1326.38
479,880.786
480,708.708
511,1036.85
512,393.451
639,693.85
640,394.153
767,703
768,393.059
769,700.746
