size,mflop
31,3343.89
32,4415.41
96,4995.13
97,4069.12
127,4941.85
128,5110.77
129,4371.5
191,5105
192,5216.9
229,5022.02
255,5165.73
256,5237.92
257,4794.59
319,5073.04
320,5111.74
321,4798.55
417,4879.03
479,5121.39
480,5161.58
511,5146.65
512,5178.21
639,5012.37
640,5050.83
767,4744.28
768,4763.12
769,4638.54
