size,mflop
31,4325.06
32,4846.79
96,6439.06
97,6277.91
127,6205.42
128,6523.8
129,6409.62
191,5960.5
192,6499.67
229,6505.41
255,6451.52
256,6594.25
257,6481.52
319,6599.32
320,6810.33
321,6687.88
417,6834.28
479,6870.15
480,6965.58
511,6735.04
512,6826.71
639,6943.47
640,7025.75
767,6979.13
768,7030.64
769,7022.63
