size,mflop
31,1714.26
32,1885.06
96,1953.3
97,1897.09
127,1926.05
128,1970.08
129,1864.48
191,1681.05
192,1763.56
229,1699.66
255,1745.53
256,1782.26
257,1747.66
319,1758.44
320,1784.86
321,1758.71
417,1766.24
479,1714.92
480,1530.03
511,1546.7
512,1609.8
639,947.733
640,951.632
767,916.018
768,919.748
769,905.31
