size,mflop
31,1213.94
32,1208.64
96,1178.24
97,1140.06
127,1136.71
128,765.77
129,1166.24
191,1182.62
192,741.483
229,1177.46
255,1166.98
256,447.755
257,1171.08
319,1136.43
320,648.212
321,981.185
417,1081.85
479,705.002
480,557.264
511,861.172
512,390.306
639,620.204
640,355.205
767,639.485
768,380.439
769,665.733
