size,mflop
31,1241.94
32,1229.29
96,1196.58
97,1177.66
127,1185.89
128,774.48
129,1188.3
191,1205.1
192,748.254
229,1200.67
255,1197.44
256,520.923
257,1201.44
319,1179.69
320,671.943
321,1177.81
417,1119.48
479,803.463
480,637.2
511,1016.74
512,413.571
639,654.687
640,386.261
767,680.62
768,390.043
769,671.972
