size,mflop
31,1169.52
32,1137.58
96,1116.7
97,1151.28
127,1175.73
128,930.77
129,1154.67
191,1117.09
192,941.853
229,1085.57
255,1107.09
256,815.425
257,1093.47
319,1037.24
320,902.267
321,1019.83
417,997.891
479,947.358
480,949.308
511,1058.3
512,635.018
639,1016.31
640,829.587
767,1063.92
768,788.484
769,977.786
