size,mflop
31,4257.72
32,4885.9
96,6379.76
97,6230.87
127,6196.2
128,6489.86
129,6387.03
191,6194.84
192,6448.62
229,6492.8
255,6412.98
256,6286.77
257,6442.19
319,6580.64
320,6714.82
321,6658.24
417,6805.42
479,6828.54
480,6927.46
511,6705.4
512,6802.6
639,6923.46
640,7011.93
767,6971
768,7024.6
769,6979.9
